Mon Sep 08 2025 18:40:34 [SERVER-NAME] info: [32mConfig validation successful.[39m
Mon Sep 08 2025 18:40:35 [SERVER-NAME] info: [32m🚀 Database connected successfully[39m
Mon Sep 08 2025 18:40:35 [SERVER-NAME] info: [33m♻️  Socket is listening on same port 7000[39m
Mon Sep 08 2025 18:40:35 [SERVER-NAME] info: [46m♻️  Application listening on http://10.10.7.62:7000[49m
Mon Sep 08 2025 18:40:50 [SERVER-NAME] warn: [33mMongoDB disconnected. Attempting to reconnect...[39m
Mon Sep 08 2025 18:41:20 [SERVER-NAME] info: [32mMongoDB reconnected successfully[39m
Mon Sep 08 2025 18:48:23 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/users/profile 204 - 2.545 ms
Mon Sep 08 2025 18:48:23 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/notifications/admin?page=1&limit=20 204 - 0.171 ms
Mon Sep 08 2025 18:48:23 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/dashboard/statistics 204 - 0.298 ms
Mon Sep 08 2025 18:48:23 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/users/profile 200 - 196.633 ms
Mon Sep 08 2025 18:48:23 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/dashboard/statistics 200 - 121.802 ms
Mon Sep 08 2025 18:48:23 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/notifications/admin?page=1&limit=20 200 - 141.975 ms
Mon Sep 08 2025 18:48:23 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/dashboard/revenue 204 - 0.164 ms
Mon Sep 08 2025 18:48:23 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/dashboard/resent-users 204 - 0.064 ms
Mon Sep 08 2025 18:48:23 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/dashboard/resent-users 200 - 9.630 ms
Mon Sep 08 2025 18:48:23 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/dashboard/revenue 200 - 22.687 ms
Mon Sep 08 2025 18:48:23 [SERVER-NAME] info: 10.10.7.48 - GET //image/young-woman-doing-yoga-in-nature-video-1756267358857.jpg 200 - 13.606 ms
Mon Sep 08 2025 18:48:34 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/user/management? 204 - 0.122 ms
