Wed Aug 27 2025 12:26:15 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/users/profile 304 - 7.465 ms
Wed Aug 27 2025 12:26:15 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/videos/library/videos? 304 - 13.162 ms
Wed Aug 27 2025 12:26:15 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/category 304 - 19.483 ms
Wed Aug 27 2025 12:26:15 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/category/category-all-videos/6899d41b0319393bfdd4f435 304 - 21.229 ms
Wed Aug 27 2025 12:26:15 [SERVER-NAME] info: 10.10.7.48 - GET //image/young-woman-doing-yoga-in-nature-video-1756267358857.jpg 304 - 0.520 ms
Wed Aug 27 2025 12:27:42 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/videos/management/get-single-video-for-admin/68ac4415da59c236c7089800 204 - 0.068 ms
Wed Aug 27 2025 12:27:42 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/videos/management/get-single-video-for-admin/68ac4415da59c236c7089800 200 - 3.971 ms
Wed Aug 27 2025 12:27:52 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/videos/management/update-by-admin/68ac4415da59c236c7089800 204 - 0.111 ms
Wed Aug 27 2025 12:27:52 [SERVER-NAME] info: 10.10.7.48 - PUT /api/v1/admin/videos/management/update-by-admin/68ac4415da59c236c7089800 200 - 5.966 ms
Wed Aug 27 2025 12:27:52 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/videos/library/videos? 204 - 0.148 ms
Wed Aug 27 2025 12:27:52 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/category/category-all-videos/6899d41b0319393bfdd4f435 204 - 0.065 ms
Wed Aug 27 2025 12:27:52 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/videos/library/videos? 304 - 8.220 ms
Wed Aug 27 2025 12:27:52 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/category/category-all-videos/6899d41b0319393bfdd4f435 200 - 18.804 ms
Wed Aug 27 2025 12:30:24 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/users/profile 204 - 0.049 ms
Wed Aug 27 2025 12:30:24 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/category/category-all-videos/6899d41b0319393bfdd4f435 204 - 0.114 ms
Wed Aug 27 2025 12:30:24 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/category 204 - 0.034 ms
Wed Aug 27 2025 12:30:24 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/videos/library/videos? 204 - 0.033 ms
Wed Aug 27 2025 12:30:24 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/users/profile 304 - 9.495 ms
Wed Aug 27 2025 12:30:24 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/videos/library/videos? 304 - 16.669 ms
Wed Aug 27 2025 12:30:24 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/category 304 - 19.992 ms
Wed Aug 27 2025 12:30:24 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/category/category-all-videos/6899d41b0319393bfdd4f435 304 - 21.458 ms
Wed Aug 27 2025 12:30:24 [SERVER-NAME] info: 10.10.7.48 - GET //image/young-woman-doing-yoga-in-nature-video-1756267358857.jpg 304 - 0.393 ms
Wed Aug 27 2025 12:30:28 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/videos/management/get-single-video-for-admin/68ac4415da59c236c7089800 204 - 0.087 ms
Wed Aug 27 2025 12:30:28 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/videos/management/get-single-video-for-admin/68ac4415da59c236c7089800 200 - 4.412 ms
Wed Aug 27 2025 12:30:32 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/videos/management/update-by-admin/68ac4415da59c236c7089800 204 - 0.075 ms
Wed Aug 27 2025 12:30:32 [SERVER-NAME] info: 10.10.7.48 - PUT /api/v1/admin/videos/management/update-by-admin/68ac4415da59c236c7089800 200 - 6.882 ms
Wed Aug 27 2025 12:30:32 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/videos/library/videos? 204 - 0.099 ms
Wed Aug 27 2025 12:30:32 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/category/category-all-videos/6899d41b0319393bfdd4f435 204 - 0.099 ms
Wed Aug 27 2025 12:30:32 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/videos/library/videos? 304 - 12.388 ms
Wed Aug 27 2025 12:30:32 [SERVER-NAME] info: 10.10.7.48 - GET /api/v1/admin/category/category-all-videos/6899d41b0319393bfdd4f435 200 - 15.220 ms
Wed Aug 27 2025 12:30:38 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/users/profile 204 - 0.054 ms
Wed Aug 27 2025 12:30:38 [SERVER-NAME] info: 10.10.7.48 - OPTIONS /api/v1/admin/category/category-all-videos/6899d41b0319393bfdd4f435 204 - 0.040 ms
