Sat Jul 19 2025 9:17:56 [SERVER-NAME] info: [32mConfig validation successful.[39m
Sat Jul 19 2025 9:17:56 [SERVER-NAME] info: [32m🚀 Database connected successfully[39m
Sat Jul 19 2025 9:17:56 [SERVER-NAME] info: [33m♻️  Socket is listening on same port 7000[39m
Sat Jul 19 2025 9:28:5 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/users/profile 204 - 0.099 ms
Sat Jul 19 2025 9:28:5 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/dailyInspiration 204 - 0.075 ms
Sat Jul 19 2025 9:28:5 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/videos/managment/videos? 204 - 0.073 ms
Sat Jul 19 2025 9:28:5 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/dailyInspiration/scheduled 204 - 0.039 ms
Sat Jul 19 2025 9:28:5 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/users/profile 304 - 10.085 ms
Sat Jul 19 2025 9:28:5 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/dailyInspiration 304 - 17.206 ms
Sat Jul 19 2025 9:28:5 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/videos/managment/videos? 304 - 20.399 ms
Sat Jul 19 2025 9:28:5 [SERVER-NAME] info: 10.10.7.104 - GET //image/image-3-1752495501665.png 304 - 2.101 ms
Sat Jul 19 2025 9:32:29 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/dailyInspiration/create 204 - 0.205 ms
Sat Jul 19 2025 9:32:48 [SERVER-NAME] info: 10.10.7.104 - POST /api/v1/admin/dailyInspiration/create 201 - 19678.561 ms
Sat Jul 19 2025 9:32:48 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/dailyInspiration 204 - 0.097 ms
Sat Jul 19 2025 9:32:49 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/dailyInspiration 200 - 17.194 ms
Sat Jul 19 2025 9:32:55 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/challenge-category/get-all-challenge-category 204 - 0.053 ms
Sat Jul 19 2025 9:32:55 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/challenge-category/get-all-challenge-category 200 - 9.306 ms
Sat Jul 19 2025 9:32:55 [SERVER-NAME] info: 10.10.7.104 - GET //image/class-meditation-hands-woman-nature-260nw-2603763821-1752497273729.jpg 200 - 1.352 ms
Sat Jul 19 2025 9:32:55 [SERVER-NAME] info: 10.10.7.104 - GET //image/image-3-1752496563677.png 200 - 3.332 ms
Sat Jul 19 2025 9:32:55 [SERVER-NAME] info: 10.10.7.104 - GET //image/class-meditation-hands-woman-nature-260nw-2603763821-1752299564654.jpg 200 - 3.496 ms
Sat Jul 19 2025 9:32:55 [SERVER-NAME] info: 10.10.7.104 - GET //image/yoga-workout-people-studio-class-260nw-2535975187-1752497253238.jpg 200 - 3.616 ms
Sat Jul 19 2025 9:33:3 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/challenge/get-challenges-videos/6874f9b3c579d8a1fb53facf 204 - 0.041 ms
Sat Jul 19 2025 9:33:3 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/challenge/get-challenges-videos/6874f9b3c579d8a1fb53facf 200 - 6.094 ms
Sat Jul 19 2025 9:33:16 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/challenge/schedule-create 204 - 0.063 ms
Sat Jul 19 2025 9:33:16 [SERVER-NAME] info: 10.10.7.104 - POST /api/v1/admin/challenge/schedule-create 201 - 19.768 ms
Sat Jul 19 2025 9:33:16 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/challenge/get-challenges-videos/6874f9b3c579d8a1fb53facf 204 - 0.058 ms
Sat Jul 19 2025 9:33:16 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/challenge/get-challenges-videos/6874f9b3c579d8a1fb53facf 200 - 14.509 ms
Sat Jul 19 2025 9:34:1 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/challenge/create 204 - 0.065 ms
Sat Jul 19 2025 9:34:23 [SERVER-NAME] info: 10.10.7.104 - POST /api/v1/admin/challenge/create 201 - 21990.925 ms
Sat Jul 19 2025 9:34:23 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/challenge/get-challenges-videos/6874f9b3c579d8a1fb53facf 204 - 0.089 ms
Sat Jul 19 2025 9:34:23 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/videos/managment/videos? 204 - 0.220 ms
Sat Jul 19 2025 9:34:23 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/challenge/get-challenges-videos/6874f9b3c579d8a1fb53facf 200 - 14.114 ms
Sat Jul 19 2025 9:34:23 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/videos/managment/videos? 304 - 16.991 ms
Sat Jul 19 2025 9:34:29 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/challenge/687b123fc6447d1636ca9c9a 204 - 0.066 ms
Sat Jul 19 2025 9:34:29 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/challenge/687b123fc6447d1636ca9c9a 200 - 4.875 ms
Sat Jul 19 2025 9:34:45 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/challenge/schedule-create 204 - 0.059 ms
Sat Jul 19 2025 9:34:45 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/challenge/get-challenges-videos/6874f9b3c579d8a1fb53facf 204 - 0.080 ms
